"sample","group","replicate","timepoint"
"SKA03_16","infected","infected_1",4
"SKA03_19","infected","infected_2",4
"SKA03_20","infected","infected_3",4
"SKA03_27","infected","infected_1",12
"SKA03_28","infected","infected_2",12
"SKA03_29","infected","infected_3",12
"SKA03_36","infected","infected_1",48
"SKA03_38","infected","infected_2",48
"SKA03_39","infected","infected_3",48
"SKA03_41","mock","mock_1",4
"SKA03_43","mock","mock_2",4
"SKA03_45","mock","mock_3",4
"SKA03_46","mock","mock_1",12
"SKA03_48","mock","mock_2",12
"SKA03_49","mock","mock_3",12
"SKA03_56","mock","mock_1",48
"SKA03_58","mock","mock_2",48
"SKA03_59","mock","mock_3",48
