"","SKA03_36","SKA03_38","SKA03_39","SKA03_56","SKA03_58","SKA03_59"
"DDX11L1",0,0,0,0,0,0
"WASH7P",182,124,151,148,137,214
"MIR6859-1",0,1,0,1,0,0
"MIR1302-2HG",0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0
"LOC100996442",0,0,2,0,4,0
"SEPTIN14P18",2,0,0,0,2,2
"LOC729737",0,0,0,0,3,0
"LOC102725121",1,1,0,2,0,0
"WASH9P",121,83,128,156,147,171
"MIR6859-2",1,0,0,0,0,0
"LOC107985721",0,0,0,0,0,0
"RPL23AP21",0,1,0,0,0,0
"RPL23AP24",0,0,0,0,0,2
"LOC112268260",0,0,0,0,0,0
"WBP1LP7",0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0
"SEPTIN14P13",0,0,0,0,0,0
"LOC100132287",3,0,10,0,14,4
"LOC105378947",0,0,0,0,0,0
"LOC101928626",0,0,0,0,0,0
"MIR12136",0,0,0,0,0,0
"WBP1LP6",0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0
"SEPTIN14P14",2,0,0,0,4,0
"LOC100288069",42,30,35,42,71,39
"LINC01409",9,5,12,2,1,5
"FAM87B",10,0,2,11,0,2
"LINC00115",2,2,8,4,16,4
"LINC01128",324,257,266,187,229,237
"LOC107984850",0,0,0,0,0,2
"FAM41C",0,0,0,0,0,0
"TUBB8P11",0,0,0,0,0,2
"LOC284600",2,2,0,0,2,16
"LINC02593",0,2,0,1,4,2
"LOC107985728",0,0,0,0,0,0
"SAMD11",26,8,20,6,33,22
"NOC2L",3470,3347,3280,3559,3453,3291
"KLHL17",90,107,97,70,66,118
"PLEKHN1",58,70,51,75,69,52
"PERM1",0,11,0,6,9,8
"HES4",316,346,349,324,403,364
"RPL39P12",1,2,4,1,2,4
"ISG15",369,772,510,662,552,703
"AGRN",5020,5464,6408,7600,8094,8046
"LOC100288175",84,62,92,110,53,87
"LOC105378948",5,5,3,10,4,0
"RNF223",56,46,42,62,36,48
"C1orf159",409,282,285,346,274,331
"LINC01342",7,12,2,8,6,6
"MIR200B",2,0,0,0,0,2
"MIR200A",1,0,0,0,1,0
"MIR429",0,0,0,0,0,0
"TTLL10-AS1",0,0,0,1,0,0
"TTLL10",0,2,0,0,0,2
"TNFRSF18",2,0,0,0,0,0
"TNFRSF4",0,0,0,0,0,0
"SDF4",4619,5047,5257,7071,6652,7401
"B3GALT6",796,844,938,944,912,1086
"C1QTNF12",79,106,119,91,127,163
"UBE2J2",2007,1910,2122,2307,2239,2106
"LINC01786",6,2,2,0,0,4
"SCNN1D",2,14,8,8,22,41
"ACAP3",515,627,703,1045,942,947
"MIR6726",0,0,0,0,0,0
"SNORD167",0,0,0,0,0,0
"PUSL1",1085,1003,920,1094,912,1005
"INTS11",1882,1668,1833,2209,2082,2172
"MIR6727",0,0,0,0,0,0
"CPTP",1094,994,1174,1524,1351,1416
"TAS1R3",8,4,18,10,16,8
"DVL1",1002,765,993,1004,1004,1007
"MIR6808",0,0,0,0,0,0
"MXRA8",179,204,204,420,441,551
"AURKAIP1",3571,3371,3582,4574,4240,4416
"CCNL2",746,666,755,724,708,789
"MRPL20-AS1",681,783,806,946,987,1008
"MRPL20",1376,1520,1461,1770,1688,1650
"LOC107984868",0,0,0,2,0,0
"ANKRD65",18,67,93,90,80,120
"LOC105378585",4,9,2,4,14,2
"TMEM88B",0,2,0,2,8,4
"LINC01770",8,12,20,29,39,40
"LOC107985729",7,6,3,16,8,5
"VWA1",2615,2948,3015,3693,3234,3563
"ATAD3C",6,4,10,6,4,2
"ATAD3B",1405,1050,1114,1197,1091,1022
"ATAD3A",2393,2337,2189,2315,2145,2109
"TMEM240",5,0,0,1,0,6
"SSU72",2896,2669,2836,3415,3169,3489
"FNDC10",125,148,119,147,121,179
"LOC105378586",0,0,0,4,0,0
"MIB2",366,382,425,621,557,682
"MMP23B",6,2,0,0,0,0
"CDK11B",1473,1225,1436,1391,1389,1514
"SLC35E2B",543,516,530,684,691,753
"LOC100288379",2,0,0,0,0,4
"MMP23A",0,0,2,0,0,0
"CDK11A",513,518,553,581,661,637
"SLC35E2A",705,688,724,1144,1026,1177
"LOC100129381",12,12,7,6,10,2
"LOC112268218",0,0,0,0,0,0
"NADK",1688,1495,1681,1884,2102,2044
"GNB1",9424,9585,9494,9870,9359,8670
"LOC105378949",12,12,20,10,31,15
"CALML6",0,0,0,0,0,0
"TMEM52",54,49,88,112,57,73
"CFAP74",0,0,2,3,1,0
"LOC107984872",0,0,3,0,0,0
"LOC105378589",2,6,8,12,4,2
"GABRD",0,2,0,0,4,6
"LOC105378590",0,4,0,3,11,1
"LOC105378591",2,0,0,0,0,0
"PRKCZ",940,850,1131,1390,1402,1698
"PRKCZ-AS1",8,1,11,4,8,14
"FAAP20",590,635,702,871,806,1028
"LOC112268219",63,66,55,69,80,64
"LOC105378593",0,0,0,0,0,0
"SKI",1582,1604,1809,1832,2048,1922
"MORN1",70,118,132,132,123,175
"LOC100129534",22,4,19,19,11,17
"RER1",2748,2703,2897,3348,3188,3100
"PEX10",508,550,506,672,541,643
"PLCH2",0,0,2,0,0,2
"PANK4",0,4,8,0,2,0
"HES5",0,0,0,0,0,0
"TNFRSF14-AS1",0,0,0,0,0,0
"TNFRSF14",6,0,2,6,8,22
"LOC100996583",0,0,0,0,0,0
"PRXL2B",0,0,0,0,0,0
"MMEL1",0,0,0,0,0,4
"MMEL1-AS1",0,0,0,0,0,0
"TTC34",0,0,2,0,0,0
"LOC105378603",0,0,0,0,0,0
"LOC105378602",0,0,0,0,0,0
"LOC105378601",0,0,0,0,0,0
"LOC112268220",0,0,0,0,0,0
"LOC107985732",0,0,0,0,0,0
"LOC105378600",0,0,0,0,0,0
"LOC105378598",0,0,0,0,0,0
"LOC107984904",0,0,0,0,0,0
"LOC105378599",0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,2
"PRDM16-DT",4,5,1,9,3,16
"PRDM16",42,39,65,75,88,121
"MIR4251",0,0,0,0,0,0
"LOC105378606",0,2,0,0,0,1
"LOC107984909",7,6,10,17,26,30
"LOC105378605",0,0,2,0,0,0
"LOC105378604",6,4,8,48,28,36
