"","SKA03_16","SKA03_19","SKA03_20","SKA03_27","SKA03_28","SKA03_29","SKA03_36","SKA03_38","SKA03_39","SKA03_41","SKA03_43","SKA03_45","SKA03_46","SKA03_48","SKA03_49","SKA03_56","SKA03_58","SKA03_59"
"DDX11L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WASH7P",396,192,480,245,239,210,182,124,151,260,185,177,184,146,182,148,137,214
"MIR6859-1",2,1,1,1,6,1,0,1,0,0,4,0,1,0,3,1,0,0
"MIR1302-2HG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100996442",0,0,0,2,0,0,0,0,2,0,8,0,3,0,0,0,4,0
"SEPTIN14P18",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
"LOC729737",6,0,2,2,2,0,0,0,0,0,2,4,0,0,0,0,3,0
"LOC102725121",2,0,2,0,0,2,1,1,0,0,0,0,0,0,4,2,0,0
"WASH9P",131,101,157,198,136,119,121,83,128,98,102,119,157,131,105,156,147,171
"MIR6859-2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LOC107985721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPL23AP21",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"RPL23AP24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"LOC112268260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WBP1LP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEPTIN14P13",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100132287",4,0,6,27,4,2,3,0,10,2,6,14,10,6,10,0,14,4
"LOC105378947",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101928626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR12136",8,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"WBP1LP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEPTIN14P14",0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0
"LOC100288069",32,31,52,148,54,51,42,30,35,42,38,43,54,79,73,42,71,39
"LINC01409",5,6,7,24,2,4,9,5,12,11,8,2,4,15,6,2,1,5
"FAM87B",0,1,6,4,4,1,10,0,2,0,1,0,0,0,6,11,0,2
"LINC00115",12,4,1,5,4,4,2,2,8,5,0,6,8,4,10,4,16,4
"LINC01128",243,295,419,492,177,150,324,257,266,254,210,277,327,300,369,187,229,237
"LOC107984850",0,3,2,4,4,14,0,0,0,2,4,2,4,4,2,0,0,2
"FAM41C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUBB8P11",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
"LOC284600",6,0,4,6,10,6,2,2,0,0,0,0,1,0,0,0,2,16
"LINC02593",0,0,2,1,0,0,0,2,0,0,0,0,2,0,2,1,4,2
"LOC107985728",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"SAMD11",10,10,20,14,4,15,26,8,20,14,4,10,10,2,5,6,33,22
"NOC2L",4594,4853,7204,5670,2966,2610,3470,3347,3280,5396,5302,5369,6238,5718,5758,3559,3453,3291
"KLHL17",126,88,136,179,50,73,90,107,97,91,116,115,104,147,145,70,66,118
"PLEKHN1",141,136,188,164,139,106,58,70,51,126,147,124,164,122,170,75,69,52
"PERM1",6,10,26,3,4,5,0,11,0,2,4,8,2,4,2,6,9,8
"HES4",1100,926,1342,781,564,536,316,346,349,1022,758,932,736,567,652,324,403,364
"RPL39P12",1,7,2,4,1,0,1,2,4,0,7,4,2,2,6,1,2,4
"ISG15",601,295,359,199,387,282,369,772,510,190,160,164,203,124,173,662,552,703
"AGRN",4068,3961,5659,7062,2177,2077,5020,5464,6408,4669,5133,6062,5381,5126,5119,7600,8094,8046
"LOC100288175",251,140,237,106,25,72,84,62,92,108,131,137,86,102,98,110,53,87
"LOC105378948",9,5,5,14,5,0,5,5,3,11,7,7,6,14,4,10,4,0
"RNF223",158,118,202,64,22,24,56,46,42,72,74,94,74,18,32,62,36,48
"C1orf159",332,268,375,452,326,218,409,282,285,287,211,273,530,463,434,346,274,331
"LINC01342",5,4,6,12,15,6,7,12,2,2,0,2,6,8,3,8,6,6
"MIR200B",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"MIR200A",1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"MIR429",0,2,0,0,1,1,0,0,0,0,0,3,2,0,0,0,0,0
"TTLL10-AS1",2,0,0,2,6,2,0,0,0,0,6,0,2,0,2,1,0,0
"TTLL10",0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,2
"TNFRSF18",4,0,4,0,0,2,2,0,0,0,4,8,0,0,0,0,0,0
"TNFRSF4",2,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"SDF4",5964,6341,9011,6857,3135,3106,4619,5047,5257,7034,6411,6930,6995,6710,6583,7071,6652,7401
"B3GALT6",1684,1315,2204,1431,776,1002,796,844,938,1307,1003,1152,1304,1294,1052,944,912,1086
"C1QTNF12",160,122,151,90,132,105,79,106,119,128,94,86,119,101,118,91,127,163
"UBE2J2",2724,2282,3226,2378,1594,1690,2007,1910,2122,2062,1926,1930,2563,2351,2192,2307,2239,2106
"LINC01786",9,2,2,7,4,10,6,2,2,8,0,0,15,6,0,0,0,4
"SCNN1D",22,1,6,11,3,8,2,14,8,6,17,12,11,12,3,8,22,41
"ACAP3",885,712,1035,824,620,416,515,627,703,967,904,943,829,755,760,1045,942,947
"MIR6726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORD167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUSL1",2266,1601,2144,1547,1196,1156,1085,1003,920,1510,1234,1500,1610,1321,1237,1094,912,1005
"INTS11",2310,2407,3527,2915,1437,1391,1882,1668,1833,2867,2623,2563,2738,2386,2414,2209,2082,2172
"MIR6727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPTP",2124,1778,2874,2040,1201,1154,1094,994,1174,1798,1493,1848,1896,1744,1735,1524,1351,1416
"TAS1R3",18,24,50,41,16,14,8,4,18,14,14,14,22,14,8,10,16,8
"DVL1",2206,1954,3128,2327,1125,1075,1002,765,993,2051,1813,2105,2243,2014,2108,1004,1004,1007
"MIR6808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MXRA8",228,282,339,320,183,177,179,204,204,478,430,491,463,409,387,420,441,551
"AURKAIP1",11987,6152,10554,4277,5988,5103,3571,3371,3582,6620,4715,4832,5286,5314,4843,4574,4240,4416
"CCNL2",926,628,1115,1460,734,748,746,666,755,693,569,596,1031,847,873,724,708,789
"MRPL20-AS1",770,593,932,848,574,558,681,783,806,804,622,584,732,822,773,946,987,1008
"MRPL20",4282,2697,4127,1827,2147,2153,1376,1520,1461,2624,2009,2314,2335,2103,2089,1770,1688,1650
"LOC107984868",0,0,0,12,0,0,0,0,0,0,0,0,4,4,0,2,0,0
"ANKRD65",14,6,10,6,8,0,18,67,93,2,8,12,20,2,2,90,80,120
"LOC105378585",5,0,0,2,0,0,4,9,2,0,0,0,0,2,0,4,14,2
"TMEM88B",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,8,4
"LINC01770",6,6,12,12,7,23,8,12,20,0,7,9,4,6,10,29,39,40
"LOC107985729",6,0,0,1,8,2,7,6,3,0,2,2,2,0,11,16,8,5
"VWA1",1641,1632,1949,2125,1227,1056,2615,2948,3015,1712,1522,1575,1870,2004,1918,3693,3234,3563
"ATAD3C",10,4,15,9,7,4,6,4,10,5,1,4,3,3,0,6,4,2
"ATAD3B",3415,2559,4179,2412,1770,1562,1405,1050,1114,2572,2144,2393,2512,1985,1979,1197,1091,1022
"ATAD3A",6262,4960,7714,4291,3509,3271,2393,2337,2189,5125,4238,4480,4262,4138,4209,2315,2145,2109
