"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","difflabel"
"DDX11L1",0,NA,NA,NA,NA,NA,"NO",NA
"WASH7P",213.944162321961,1.01552738949477,0.353028459120262,2.8766162139603,0.00401964150119572,0.0508155866559472,"UP",NA
"MIR6859-1",2.46524901331826,1.74816833240564,1.87946597437578,0.930140984854089,0.352298092803833,NA,"NO",NA
"MIR1302-2HG",0,NA,NA,NA,NA,NA,"NO",NA
"MIR1302-2",0,NA,NA,NA,NA,NA,"NO",NA
"FAM138A",0,NA,NA,NA,NA,NA,"NO",NA
"OR4F5",0,NA,NA,NA,NA,NA,"NO",NA
"LOC100996442",0.609965538344233,-0.462502938526458,3.97277615078569,-0.116418071638642,0.907321213679836,NA,"NO",NA
"SEPTIN14P18",0,NA,NA,NA,NA,NA,"NO",NA
"LOC729737",0.730602582383706,3.25966308648444,3.6493723521207,0.893211975092158,0.371743666374236,NA,"NO",NA
"LOC102725121",1.09144564986683,-0.151114252493541,3.30487447169919,-0.0457246572562999,0.963529710711245,NA,"NO",NA
"WASH9P",141.868230409315,0.691729778470629,0.323595904329103,2.13763452879529,0.0325464170443873,0.161112348744152,"NO",NA
"MIR6859-2",0,NA,NA,NA,NA,NA,"NO",NA
"LOC107985721",0,NA,NA,NA,NA,NA,"NO",NA
"RPL23AP21",0,NA,NA,NA,NA,NA,"NO",NA
"RPL23AP24",0.108789878730637,1.38822421871832,4.0699551612266,0.341090789388435,0.733035234915089,NA,"NO",NA
"LOC112268260",0,NA,NA,NA,NA,NA,"NO",NA
"WBP1LP7",0,NA,NA,NA,NA,NA,"NO",NA
"OR4F29",0,NA,NA,NA,NA,NA,"NO",NA
"SEPTIN14P13",0,NA,NA,NA,NA,NA,"NO",NA
"LOC100132287",8.06460742159198,0.393733753175077,0.987388641577271,0.398762692414732,0.690068068978326,0.8427422762996,"NO",NA
"LOC105378947",0,NA,NA,NA,NA,NA,"NO",NA
"LOC101928626",0,NA,NA,NA,NA,NA,"NO",NA
"MIR12136",0.285533781884784,-1.40488920766871,4.03408420276199,-0.348254805069967,0.727648832172071,NA,"NO",NA
"WBP1LP6",0,NA,NA,NA,NA,NA,"NO",NA
"OR4F16",0,NA,NA,NA,NA,NA,"NO",NA
"SEPTIN14P14",0,NA,NA,NA,NA,NA,"NO",NA
"LOC100288069",72.0406061738012,0.608376419314205,0.370041872621265,1.64407453406462,0.100160807486221,0.300216120655838,"NO",NA
"LINC01409",7.68981047031935,0.310367678289115,1.05541710991599,0.294071107406834,0.76870356820249,0.888874374598813,"NO",NA
"FAM87B",2.57041828807119,1.02381268134603,1.94934162748466,0.525209469141184,0.599437583009227,NA,"NO",NA
"LINC00115",5.65206113854101,-0.245439122657617,1.06791099199441,-0.229831066912459,0.818223042932663,0.915479281791376,"NO",NA
"LINC01128",276.10588912697,0.0153763941265589,0.256176670890719,0.0600226167086002,0.952137621634126,0.979342666537516,"NO",NA
"LOC107984850",6.53288637937471,1.86562995618759,1.17271014752526,1.59087048076166,0.111638727100095,0.317913254810301,"NO",NA
"FAM41C",0,NA,NA,NA,NA,NA,"NO",NA
"TUBB8P11",0,NA,NA,NA,NA,NA,"NO",NA
"LOC284600",4.9325147117797,4.99187452626612,1.69499246511901,2.94507180945825,0.00322879716200849,0.0444220370494563,"UP",NA
"LINC02593",0.652125548504458,-1.44541201507649,3.36558734949194,-0.42946798433108,0.667582688111497,NA,"NO",NA
"LOC107985728",0,NA,NA,NA,NA,NA,"NO",NA
"SAMD11",8.80661834608821,1.47817121115822,0.999174126092555,1.47939300323845,0.139035309035351,0.357843754217552,"NO",NA
"NOC2L",4510.01939609427,-0.242020567964267,0.18863526089718,-1.28300810152449,0.199489237760275,0.43783912524916,"NO",NA
