"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX11L1",0,NA,NA,NA,NA,NA
"WASH7P",158.427918867622,0.0979909137607172,0.249503527704337,0.392743600310281,0.694508864502599,0.831325534094052
"MIR6859-1",0.336333271919877,0.226108200788761,4.0804728567969,0.055412254590085,0.955810033087493,NA
"MIR1302-2HG",0,NA,NA,NA,NA,NA
"MIR1302-2",0,NA,NA,NA,NA,NA
"FAM138A",0,NA,NA,NA,NA,NA
"OR4F5",0,NA,NA,NA,NA,NA
"LOC100996442",0.953877937313044,-0.790247353391933,3.14487775911497,-0.251280785430059,0.801597029681112,NA
"SEPTIN14P18",0.973477183507165,-0.75677234804505,2.84787396416084,-0.265732387587609,0.790445318184284,NA
"LOC729737",0.454005191821957,-2.20044514219462,3.99554078975967,-0.550725235451037,0.581822042731676,NA
"LOC102725121",0.671893562188732,0.234719389151024,3.32412737266211,0.0706108288994506,0.943707491712185,NA
"WASH9P",132.014142377203,-0.290750934402085,0.247231153970323,-1.17602870727605,0.23958340468771,0.427923009682073
"MIR6859-2",0.181334062246241,1.18788087300239,4.0804728567969,0.291113533820896,0.770964489488144,NA
"LOC107985721",0,NA,NA,NA,NA,NA
"RPL23AP21",0.182107043897263,1.18788087300239,4.0804728567969,0.291113533820896,0.770964489488144,NA
"RPL23AP24",0.308138931133379,-1.63865629677628,4.03712091490858,-0.405897254829531,0.684818095181176,NA
"LOC112268260",0,NA,NA,NA,NA,NA
"WBP1LP7",0,NA,NA,NA,NA,NA
"OR4F29",0,NA,NA,NA,NA,NA
"SEPTIN14P13",0,NA,NA,NA,NA,NA
"LOC100132287",5.02165935192678,-0.25568815207849,1.47728714240372,-0.173079521739054,0.86258892130086,0.928584561267309
"LOC105378947",0,NA,NA,NA,NA,NA
"LOC101928626",0,NA,NA,NA,NA,NA
"MIR12136",0,NA,NA,NA,NA,NA
"WBP1LP6",0,NA,NA,NA,NA,NA
"OR4F16",0,NA,NA,NA,NA,NA
