"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed"
"DDX11L1",0,NA,NA,NA,NA,NA,"NO"
"WASH7P",215.688460606816,-0.50821419332495,0.437854705011046,-1.16069140632422,0.245767417890685,0.436132698501269,"NO"
"MIR6859-1",1.45406552000854,0.344242965943327,3.11641837634338,0.110461088458618,0.912043707886928,NA,"NO"
"MIR1302-2HG",0,NA,NA,NA,NA,NA,"NO"
"MIR1302-2",0,NA,NA,NA,NA,NA,"NO"
"FAM138A",0,NA,NA,NA,NA,NA,"NO"
"OR4F5",0,NA,NA,NA,NA,NA,"NO"
"LOC100996442",0.976839412641594,3.21372347763837,5.67148943445471,0.566645413833405,0.57095511392856,NA,"NO"
"SEPTIN14P18",0.307331999331726,-0.638293430500292,7.3669538104291,-0.0866427898050189,0.930955452422754,NA,"NO"
"LOC729737",1.14519856243484,-2.50115654386474,3.98123276947037,-0.628236701718266,0.529848890693973,NA,"NO"
"LOC102725121",0.799396553899104,-2.40385648194685,4.5571829542813,-0.527487376755088,0.59785518018242,NA,"NO"
"WASH9P",131.147128831435,-0.440442008238219,0.3193050395166,-1.37937693969694,0.167778565447102,0.347628025636951,"NO"
"MIR6859-2",0.057080467192987,1.30595144220124,7.44926994787085,0.17531267511315,0.860833952707501,NA,"NO"
"LOC107985721",0,NA,NA,NA,NA,NA,"NO"
"RPL23AP21",0.170579693260591,3.19211418217761,7.42460697254696,0.429937125827764,0.667241378192262,NA,"NO"
"RPL23AP24",0.138551979307189,-1.52091535447847,7.42559832345405,-0.204820579868238,0.83771230746174,NA,"NO"
"LOC112268260",0,NA,NA,NA,NA,NA,"NO"
"WBP1LP7",0,NA,NA,NA,NA,NA,"NO"
"OR4F29",0,NA,NA,NA,NA,NA,"NO"
"SEPTIN14P13",0.0803615191543955,-1.24101433047733,7.4389878846087,-0.166825695877929,0.867507199621611,NA,"NO"
"LOC100132287",6.21761714635721,1.10330256684031,1.78706047708628,0.617384011893767,0.536981465074881,NA,"NO"
"LOC105378947",0.0535457864791455,-0.617481816787875,7.44926994787085,-0.0828915881836667,0.933937742680197,NA,"NO"
"LOC101928626",0,NA,NA,NA,NA,NA,"NO"
"MIR12136",0.705648428663886,-2.98750929499306,6.64863339202229,-0.449341860024615,0.653185065233639,NA,"NO"
"WBP1LP6",0,NA,NA,NA,NA,NA,"NO"
"OR4F16",0,NA,NA,NA,NA,NA,"NO"
"SEPTIN14P14",0.412253243046499,1.18973625233268,7.34590749151508,0.161959057299169,0.8713380956622,NA,"NO"
"LOC100288069",52.4715713521525,-0.0312216270049861,0.439782208624357,-0.0709933835264681,0.943403021386147,0.967551314850793,"NO"
"LINC01409",6.77404312734332,2.27529771246058,1.2905440151943,1.76305316647261,0.0778915230759807,NA,"NO"
"FAM87B",2.62449686597793,-2.28285189163424,2.93314350090516,-0.778295330906844,0.436394927428876,NA,"NO"
"LINC00115",5.42513508983215,-1.38363004884718,1.5217541714497,-0.909233616576237,0.363226823002498,NA,"NO"
"LINC01128",269.796630918756,0.373240827787602,0.2602785475393,1.43400534280009,0.151570738182199,0.329604906474107,"NO"
"LOC107984850",3.22272887561976,-0.85122078475019,2.38042339564425,-0.357592177218462,0.720648533399999,NA,"NO"
"FAM41C",0,NA,NA,NA,NA,NA,"NO"
"TUBB8P11",0.209150413023691,0.351212334729715,7.40152551549929,0.0474513441849593,0.962153508334566,NA,"NO"
"LOC284600",3.42802821127575,-5.93121697794776,2.63936897738118,-2.24721023425561,0.0246265944329572,NA,"DOWN"
"LINC02593",0.771232592546263,-3.06875726100983,3.83051591391536,-0.801134189225466,0.423053965265677,NA,"NO"
"LOC107985728",0.147027464341228,1.19668141366,7.42811811955598,0.16110155956049,0.872013411938876,NA,"NO"
"SAMD11",12.7375368453927,-0.294056852132455,1.04644072623625,-0.281006697044461,0.778705263220746,0.869448229228372,"NO"
"NOC2L",4445.11346426158,0.289892981423813,0.133807357989858,2.16649507006772,0.0302733761756528,0.129352204453233,"NO"
"KLHL17",103.488154767373,0.450775715571341,0.383830776092834,1.17441264132065,0.240229784272914,0.430379843472842,"NO"
"PLEKHN1",118.130724284298,0.00542192766777463,0.374752995966934,0.0144680035279906,0.98845660607733,0.993884239519635,"NO"
"PERM1",5.88704502509071,-2.19088521637068,1.51066905216241,-1.45027477278004,0.146981911033682,NA,"NO"
"HES4",664.665001820262,-0.062526405517111,0.257208288822992,-0.243096386213824,0.807930730646281,0.887133895168471,"NO"
"RPL39P12",2.66198133804112,0.37359172145402,1.8489155431366,0.202059917144857,0.839869882974885,NA,"NO"
"ISG15",377.397733217038,-1.17394142005177,0.572974345690245,-2.04885511695564,0.0404762843058335,0.152737087744812,"DOWN"
"AGRN",5147.30933981111,0.0797303986184338,0.18969743324835,0.420302991206272,0.674264125027351,0.794141442304835,"NO"
"LOC100288175",105.917597860105,-0.456578112199658,0.470551760985522,-0.970303694631601,0.331895136223767,0.522687222624071,"NO"
"LOC105378948",6.05295237344151,0.615597529947546,1.39536233385512,0.441173962498163,0.65908706153572,NA,"NO"
"RNF223",65.3650331078771,-0.643318604644817,0.510238663545221,-1.26081900609988,0.207374064501886,0.39454885006207,"NO"
"C1orf159",335.368634105652,0.0528823732500648,0.300114566557372,0.176207285959762,0.860131096981117,0.919076790912782,"NO"
"LINC01342",6.51240451460697,-1.46667081149241,1.3274280107326,-1.1048966871529,0.269204358085194,NA,"NO"
"MIR200B",0.211709197383479,0.348182575169702,7.40166585271361,0.0470411096769588,0.962480462993732,NA,"NO"
"MIR200A",0.281448803575307,-0.617503515592998,7.44926994783047,-0.082894501060851,0.933935426511644,NA,"NO"
"MIR429",0.570580790391507,0.651688385875177,6.24106604007631,0.104419402340951,0.91683652600656,NA,"NO"
"TTLL10-AS1",1.54404001677668,0.937650969177961,3.67724908650187,0.254987069714643,0.798733086089526,NA,"NO"
"TTLL10",0.486192203156033,3.52914200635114,7.33529908364858,0.481117670337137,0.630432870018498,NA,"NO"
"TNFRSF18",1.33819900719218,2.88467407736092,4.35632556406461,0.662180554446305,0.507855514907849,NA,"NO"
"TNFRSF4",0.577764128418424,-2.91848691046093,7.38259874835494,-0.395319725470825,0.692606943684641,NA,"NO"
"SDF4",5959.00254914922,-0.203311844945303,0.124534202260755,-1.63257837007378,0.10255770345321,0.261204609046713,"NO"
"B3GALT6",1151.60033387273,-0.40663066459784,0.240887975204021,-1.6880488295584,0.0914018559593703,0.243228089564836,"NO"
"C1QTNF12",118.223777298231,-0.474971989633434,0.508867964323422,-0.933389450571809,0.350618925233201,0.539909032900191,"NO"
"UBE2J2",2175.4326805997,-0.258828917677772,0.215755052520828,-1.19964244013607,0.230278236515318,0.420184624514025,"NO"
"LINC01786",4.56701517549363,0.932447583462772,2.28360018158908,0.40832348454882,0.683036199988696,NA,"NO"
"SCNN1D",11.0382232480963,-0.95024024064339,1.29763904462987,-0.732283946430134,0.463995275726449,0.640769454021867,"NO"
"ACAP3",785.082238842651,-0.216108789406762,0.241330750618035,-0.895487992530249,0.370526281715486,0.557442245994838,"NO"
"MIR6726",0,NA,NA,NA,NA,NA,"NO"
"SNORD167",0,NA,NA,NA,NA,NA,"NO"
"PUSL1",1354.1713476356,-0.158433100390062,0.284392734566752,-0.55709264384486,0.577464133271012,0.72967889023846,"NO"
"INTS11",2243.9458003812,0.0703484627695422,0.139014810139657,0.506050130190221,0.61282145827799,0.754478238000798,"NO"
"MIR6727",0,NA,NA,NA,NA,NA,"NO"
"CPTP",1593.14877673252,-0.426378609929089,0.176982845381365,-2.4091521921818,0.0159896285849482,0.0907534005361848,"NO"
"TAS1R3",16.8313210275816,-0.909166056798605,0.786871675578513,-1.15541845642135,0.24791910748274,0.438488322371,"NO"
"DVL1",1620.01769475655,-0.0458867126091889,0.142597689017274,-0.321791418398304,0.747610715929573,0.848335539115001,"NO"
"MIR6808",0,NA,NA,NA,NA,NA,"NO"
"MXRA8",332.609671847248,-0.19566547217725,0.237785277274577,-0.822866219557022,0.410584074471719,0.593639563518842,"NO"
"AURKAIP1",5591.24522257955,-0.796138265404402,0.420893948022276,-1.89154125200742,0.0585521296910358,0.189234598024031,"NO"
"CCNL2",806.029009103288,-0.184250720435635,0.185050293406753,-0.995679158587657,0.319406059616699,0.510855542615142,"NO"
"MRPL20-AS1",757.837715605671,-0.196850849983085,0.250372506265704,-0.786231894704044,0.431731643716184,0.611826260625754,"NO"
"MRPL20",2254.00342408096,-0.550100451570798,0.374848462951313,-1.46752756364443,0.142232596722083,0.317148675486772,"NO"
"LOC107984868",0.986595278707418,-1.52451246894577,6.29578893877108,-0.242147963308844,0.808665514483782,NA,"NO"
"ANKRD65",28.9773239498073,-0.819584851443483,1.16062306349494,-0.706159370102035,0.480089034069446,0.653710067362822,"NO"
"LOC105378585",2.27400246176625,-3.28946498516713,2.85625397069123,-1.15167104148342,0.249456276384877,NA,"NO"
"TMEM88B",0.791018305814195,-2.42840649587818,6.18590964577899,-0.392570637939275,0.694636629536186,NA,"NO"
"LINC01770",13.9529206240958,-1.63846928591754,1.05470175990021,-1.55349061527362,0.120305969582424,0.286455701686014,"NO"
"LOC107985729",4.51834350432347,-1.15654215109754,2.11800419502104,-0.546052814161709,0.585029633656562,NA,"NO"
"VWA1",2123.11837014789,-0.0663801660711147,0.18334363577118,-0.362053287488854,0.717312210071774,0.827756038036749,"NO"
"ATAD3C",5.36506886966913,-0.393105442184582,1.22338511035048,-0.321325998541837,0.747963356228111,NA,"NO"
"ATAD3B",2005.07192192955,-0.035747783723664,0.252889014467285,-0.141357598308362,0.887587449496327,0.933601574169445,"NO"
"ATAD3A",3884.13069081837,-0.00956623778985034,0.257685824987481,-0.0371236477222412,0.970386416866309,0.983936040137625,"NO"
"TMEM240",2.86415710513585,1.33551196260297,2.30365399964332,0.579736350515204,0.562092426026591,NA,"NO"
"SSU72",3539.16154988914,-0.573210052480945,0.315184101253943,-1.81865154428939,0.0689646086861185,0.206920484321728,"NO"
"FNDC10",157.781176756912,-0.131791470366373,0.44676982267374,-0.29498740442596,0.768003501623815,0.862991325399216,"NO"
"LOC105378586",0.440931274182571,-0.102426987297249,7.34415953764795,-0.0139467268885137,0.988872482680864,NA,"NO"
"MIB2",454.458838356112,-0.580835108214873,0.26378745318045,-2.20190574347575,0.0276719672102489,0.123497373118,"NO"
"MMP23B",0.86184007122434,7.0311855911623,6.49236781571524,1.08299249068157,0.278811756174343,NA,"NO"
"CDK11B",1721.59140899951,-0.456959442883511,0.410812300838496,-1.11233145149458,0.265995665752717,0.456934489997621,"NO"
"SLC35E2B",464.273737886002,0.346568313573627,0.338348781005794,1.02429307575277,0.305696867482059,0.496687866157287,"NO"
"LOC100288379",1.93367730268337,-0.352408376435326,2.95440312373015,-0.119282427507856,0.905051604913574,NA,"NO"
"MMP23A",0.19189518543437,2.16247584378252,7.42790587328285,0.291128600802636,0.770952966562106,NA,"NO"
"CDK11A",659.565508430924,-0.951782782654401,0.486980502302683,-1.95445767983298,0.0506471150682664,0.174618642751267,"NO"
"SLC35E2A",653.926983800846,0.307022932030165,0.270980956194663,1.13300556740825,0.25721191532609,0.448959774457052,"NO"
"LOC100129381",9.17545086811768,0.475540252370206,1.28177142009434,0.371002383822231,0.710635756191043,0.823243941051177,"NO"
"LOC112268218",0.0950377395172871,0.344282687605599,7.44926994776713,0.046216970256098,0.96313731661902,NA,"NO"
"NADK",1719.34799837949,0.186450871004294,0.204433156013709,0.912038314331904,0.361748548631775,0.549575347606051,"NO"
"GNB1",9338.9360289276,0.414032480731069,0.140088166457216,2.95551359691411,0.00312148937828925,0.0367817114086148,"NO"
"LOC105378949",9.42362107382865,-0.882061954747973,1.03741769234308,-0.850247649773328,0.395187414949285,0.580290477889362,"NO"
"CALML6",0.495664630731737,0.344196403133873,7.44926994758852,0.0462053873138664,0.9631465486072,NA,"NO"
"TMEM52",58.411445061088,-0.729208210115905,0.663763149674342,-1.09859700779363,0.271943883446941,0.463116283558598,"NO"
"CFAP74",1.11506705955495,1.19015483318959,3.85562700424901,0.308679971345258,0.757564980845389,NA,"NO"
"LOC107984872",0.559580891502953,6.44127248133534,7.32954811584427,0.878808949682894,0.379504872896044,NA,"NO"
"LOC105378589",4.40369568683854,-3.34576492612939,1.95004888615451,-1.71573387205037,0.0862107622541539,NA,"NO"
"GABRD",1.34981430543876,2.45991923652402,4.37148179371813,0.562719771602149,0.573625718714578,NA,"NO"
"LOC105378590",0.992820349582495,-2.48473180446205,5.15540942425832,-0.481965950710019,0.629830134448661,NA,"NO"
"LOC105378591",0.443811972858498,4.08541104110791,7.40134919563107,0.551981933715475,0.580960731126686,NA,"NO"
"PRKCZ",887.857836326846,-0.108049380269602,0.204064537299425,-0.529486316924635,0.596468133942856,0.742708954981271,"NO"
"PRKCZ-AS1",11.7728036127179,-1.21154543853875,1.08510730936287,-1.11652131368474,0.264199052104564,0.455653297021702,"NO"
"FAAP20",911.551122530885,-0.776195696974236,0.39436695860342,-1.96820671722346,0.0490442577071263,0.171897897286882,"NO"
"LOC112268219",120.317131419895,-0.265129586058802,0.402091360857394,-0.659376479746932,0.509654041819743,0.677618869268352,"NO"
"LOC105378593",0.249410657658646,2.80152117700452,7.40211822701663,0.378475605371903,0.705077312478552,NA,"NO"
"SKI",1801.78703728903,0.57339616041817,0.278809421725896,2.05658817721694,0.0397258564398478,0.151069737706733,"NO"
"MORN1",124.816017335402,0.0142926040791745,0.319550859930999,0.0447271651287708,0.964324780719116,0.980147146864052,"NO"
"LOC100129534",21.7148583025785,-0.216573098367108,0.725274907305997,-0.298608287954646,0.765238940952322,0.860936353360518,"NO"
"RER1",3621.57626619268,-0.105067921598941,0.184687739354036,-0.56889494649957,0.569427435056414,0.723620546081487,"NO"
"PEX10",631.868628445818,0.27433949543477,0.31260309170274,0.877596871932554,0.38016252743199,0.566471895846065,"NO"
"PLCH2",0.659030951177706,-1.31344523412144,4.50615095064474,-0.29147830343622,0.770685535193595,NA,"NO"
"PANK4",2.48970974831948,0.391699831242163,2.96577203161209,0.132073479373008,0.894926172522635,NA,"NO"
"HES5",0,NA,NA,NA,NA,NA,"NO"
"TNFRSF14-AS1",0,NA,NA,NA,NA,NA,"NO"
"TNFRSF14",4.50158139009265,-1.5830577370482,1.78085556324024,-0.888931011433541,0.374040157648365,NA,"NO"
"LOC100996583",0,NA,NA,NA,NA,NA,"NO"
"PRXL2B",0,NA,NA,NA,NA,NA,"NO"
"MMEL1",0.462666269067831,-3.24390320526628,7.31971448002004,-0.443173461768333,0.657640272703969,NA,"NO"
"MMEL1-AS1",0,NA,NA,NA,NA,NA,"NO"
"TTC34",0.19189518543437,2.16247584378252,7.42790587328285,0.291128600802636,0.770952966562106,NA,"NO"
"LOC105378603",0,NA,NA,NA,NA,NA,"NO"
"LOC105378602",0,NA,NA,NA,NA,NA,"NO"
"LOC105378601",0,NA,NA,NA,NA,NA,"NO"
"LOC112268220",0,NA,NA,NA,NA,NA,"NO"
"LOC107985732",0,NA,NA,NA,NA,NA,"NO"
"LOC105378600",0,NA,NA,NA,NA,NA,"NO"
"LOC105378598",0,NA,NA,NA,NA,NA,"NO"
"LOC107984904",0,NA,NA,NA,NA,NA,"NO"
"LOC105378599",0,NA,NA,NA,NA,NA,"NO"
"ACTRT2",0.218913337558488,-3.61950960762689,7.39215390890789,-0.489642078916298,0.624387194854572,NA,"NO"
"PRDM16-DT",9.14123530373473,-1.24978827319872,1.12736934707851,-1.10858812725168,0.267607902281285,0.45816712493849,"NO"
"PRDM16",62.7439140231806,-0.658490416533664,0.475798374657936,-1.38396945346245,0.166367808262486,0.345980299534084,"NO"
"MIR4251",0,NA,NA,NA,NA,NA,"NO"
"LOC105378606",1.41689612743242,-1.58215077171295,4.14631974029425,-0.381579538195641,0.702773263993459,NA,"NO"
"LOC107984909",8.07699561464386,0.240186382698499,1.25068204749368,0.192044319481377,0.847707489561901,NA,"NO"
"LOC105378605",0.48808576397032,-0.770572829096157,7.36797257668572,-0.104584106560665,0.916705826663362,NA,"NO"
"LOC105378604",31.8598937664138,-2.80681671483208,0.674087313637735,-4.16387707949138,3.12888606123455e-05,0.00175229165134158,"DOWN"
"ARHGEF16",1049.14774369869,0.0178481672572854,0.150411185935429,0.118662499376526,0.90554274773401,0.944305502429509,"NO"
"MEGF6",140.351732755956,-0.413367915289859,0.307252669392248,-1.34536801944637,0.178506417577259,0.36193046661851,"NO"
"LOC105378608",2.24352754590389,3.64086619673957,3.29147648599207,1.10614984255073,0.26866166833991,NA,"NO"
"MIR551A",0.0475188697586435,0.344248155158521,7.44926994787085,0.0462123345733918,0.963141011410915,NA,"NO"
"LOC105378607",0.838897330855606,3.74629254454969,5.58654018337743,0.670592606797435,0.502480093609543,NA,"NO"
"TPRG1L",2184.46394573429,-0.228887578144836,0.13120034206661,-1.7445654069151,0.0810605468107447,0.225569475421099,"NO"
"WRAP73",545.501995135389,-0.0507477168706554,0.193505707404003,-0.262254367333485,0.793125340620466,0.878183650295236,"NO"
"TP73",842.349112623685,-0.249590762427061,0.172468397160032,-1.44716809883417,0.147849848919552,0.324646125010051,"NO"
"TP73-AS3",7.56946877938066,0.450238432315991,1.3322559122001,0.337951911635702,0.73539942674571,NA,"NO"
"LOC105378609",1.50997456561835,-2.16734489469629,4.60116624226741,-0.471042509785136,0.637610378349827,NA,"NO"
"TP73-AS1",0,NA,NA,NA,NA,NA,"NO"
"CCDC27",0.829102196492086,-4.85310923232928,5.0653065541926,-0.958107703928071,0.338008451125716,NA,"NO"
"SMIM1",61.9673565992837,-0.127779374834269,0.469856432731592,-0.271954081997774,0.785657326305892,0.873483352233868,"NO"
"LRRC47",2211.99518051596,-0.0470930561160079,0.146834527184233,-0.320721951567429,0.74842111044904,0.848937757345671,"NO"
"CEP104",833.106379412338,0.526840862869193,0.151899999694785,3.46834011802358,0.000523684036676452,0.0126498717803352,"NO"
"DFFB",191.159623293582,-0.170253734648216,0.329901599364944,-0.516074292989036,0.605802521711033,0.749687556664573,"NO"
"LOC107984910",5.19762219416293,-0.980326946826327,1.85615460867629,-0.528149402126283,0.597395644594357,NA,"NO"
"C1orf174",786.589356751025,0.577803581736389,0.204182169835968,2.82984347850047,0.00465707813019332,0.0468597195602288,"NO"
"LINC01134",21.1972116994749,-0.97454092594615,0.787168866873067,-1.23803286303407,0.215703875716228,0.403915820079603,"NO"
"LINC01346",0.057080467192987,1.30595144220124,7.44926994787085,0.17531267511315,0.860833952707501,NA,"NO"
"LINC01345",0.0803615191543955,-1.24101433047733,7.4389878846087,-0.166825695877929,0.867507199621611,NA,"NO"
"LINC02780",0,NA,NA,NA,NA,NA,"NO"
"LINC01777",0,NA,NA,NA,NA,NA,"NO"
"LOC105376674",0,NA,NA,NA,NA,NA,"NO"
"LINC01646",0,NA,NA,NA,NA,NA,"NO"
"LOC107985376",0,NA,NA,NA,NA,NA,"NO"
"AJAP1",0,NA,NA,NA,NA,NA,"NO"
"LINC02781",0,NA,NA,NA,NA,NA,"NO"
"LOC102724429",0,NA,NA,NA,NA,NA,"NO"
"LINC02782",0,NA,NA,NA,NA,NA,"NO"
"LOC105376682",0,NA,NA,NA,NA,NA,"NO"
"LOC107984911",0,NA,NA,NA,NA,NA,"NO"
"LOC105376686",0,NA,NA,NA,NA,NA,"NO"
"MIR4689",0.0410037163096837,0.344183382477789,7.44926994785819,0.0462036394018381,0.963147941751345,NA,"NO"
"NPHP4",202.902582520193,0.642976575648197,0.28073461872264,2.29033590005315,0.0220018522381861,0.107726703478271,"NO"
"KCNAB2",193.948793528755,-0.0766699766549823,0.374416774549363,-0.204771745996851,0.837750462662445,0.906894332330594,"NO"
"CHD5",3.16640058199337,2.71282322480293,2.63961476165168,1.02773452558867,0.304074722461309,NA,"NO"
"LOC112268285",0,NA,NA,NA,NA,NA,"NO"
"LOC105376687",0,NA,NA,NA,NA,NA,"NO"
"RPL22",18418.3399290503,-1.16705435673531,0.370335511745663,-3.15134336222342,0.00162521308726076,0.0255158685220839,"DOWN"
"LOC107985733",2.12280494386481,-4.58053256611945,2.40856920465976,-1.90176498032844,0.0572018864401668,NA,"NO"
"RNF207-AS1",3.06900309135713,-3.5109434869717,2.38310643147557,-1.47326340133193,0.140680025190875,NA,"NO"
"RNF207",72.9525788630023,-0.963035964980754,0.381239469682739,-2.52606574492976,0.0115347892874382,0.0763374657596472,"NO"
"ICMT",5297.54761871409,0.392520035031195,0.213065829795511,1.84224770066564,0.0654389259601837,0.201331153313949,"NO"
"LINC00337",33.9518609118195,-1.05349267272396,0.664591018938153,-1.58517440456414,0.112926714206227,0.276299974449124,"NO"
"HES3",0,NA,NA,NA,NA,NA,"NO"
"GPR153",122.49320990886,0.388555712487672,0.319948276874891,1.21443289610092,0.224582459922333,0.413751880825594,"NO"
"ACOT7",5069.49700019908,-0.48207453786338,0.197933730413433,-2.43553504931398,0.0148697839537527,0.0873031764278932,"NO"
"HES2",7.06211657360752,-0.458525151047279,1.38232900476737,-0.331704789139141,0.74011218403567,NA,"NO"
"ESPN",302.579757725102,-1.04110232763653,0.398591336257636,-2.6119542321502,0.00900263053244774,0.0666177101857432,"DOWN"
"MIR4252",0,NA,NA,NA,NA,NA,"NO"
"TNFRSF25",13.2976695888673,-2.12298604871217,0.940608542119623,-2.25703462561387,0.0240059112432356,0.113635053511584,"DOWN"
"PLEKHG5",122.691064374021,-0.155140189979402,0.353793737704766,-0.438504624151555,0.661020518816094,0.78482199745589,"NO"
"NOL9",1625.35376650566,0.0665948045091022,0.179183492319918,0.37165702960071,0.710148222182288,0.822867580398579,"NO"
"TAS1R1",1.02684543859564,-0.857608645099773,3.94074046869632,-0.217626268949269,0.827720315347561,NA,"NO"
"LOC107984912",0,NA,NA,NA,NA,NA,"NO"
"ZBTB48",287.736408248566,-0.452967961547333,0.345119327501498,-1.31249665101809,0.189352615276816,0.374681178886081,"NO"
"KLHL21",2017.01787807251,0.223416078866347,0.259469936445509,0.861048034801001,0.389211587851633,0.575008689654846,"NO"
"LOC107984913",6.00481334027753,-2.82545897287316,1.5229648602494,-1.85523582757547,0.0635625575499765,NA,"NO"
"PHF13",1302.2935112408,0.0273309507184752,0.157997070914511,0.172983907614739,0.862664076794275,0.920619274852024,"NO"
"THAP3",428.40502864512,-0.508678682714725,0.33186343001302,-1.53279523054037,0.125326316167305,0.293484792908499,"NO"
"DNAJC11",1473.48129945764,0.793211773077874,0.277418763760787,2.85925783218415,0.0042463349676763,0.0445688975134324,"NO"
"LINC01672",0,NA,NA,NA,NA,NA,"NO"
"CAMTA1-DT",5.50503752674836,-1.02591643624906,2.17515773314105,-0.471651513183634,0.637175551249803,NA,"NO"
"CAMTA1",834.541442184884,-0.446316389754683,0.265572029377833,-1.68058507818119,0.0928435361954227,0.245870938551375,"NO"
"RPL37P9",0.400879648684062,-2.34494416312599,7.39573860215878,-0.317066933982972,0.751192814241864,NA,"NO"
"LOC105376692",0.196174062507312,0.344145283074594,7.44926994778571,0.0461985248872463,0.96315201819059,NA,"NO"
"CAMTA1-AS2",0,NA,NA,NA,NA,NA,"NO"
"CAMTA1-AS1",0.1127855035087,2.23037053578404,7.4246063530558,0.30040253041376,0.763870133778283,NA,"NO"
"LOC105376691",0,NA,NA,NA,NA,NA,"NO"
"LOC105376689",10.8751703693728,-1.16503351495786,1.05073905401856,-1.10877530486964,0.267527126347769,0.45816712493849,"NO"
"VAMP3",2965.86040014561,0.235687274861616,0.228215878016421,1.03273828670526,0.30172639105029,0.493207665208655,"NO"
"PER3",913.023928610914,1.32389789504512,0.36145381272713,3.6627028085731,0.000249568022820027,0.00750038392542485,"UP"
"UTS2",4.51685701623927,-3.88332932666944,2.46029397122855,-1.57840053753019,0.114473621808293,NA,"NO"
"TNFRSF9",74.2555876218679,1.56414640033206,0.5504805590241,2.84141987340116,0.00449131367395759,0.0459950523816831,"UP"
"PARK7",6648.67382557355,-0.386129381499627,0.266194688856518,-1.45055253791241,0.146904499585877,0.323313455657607,"NO"
"ERRFI1",1468.00969182027,0.691483786987738,0.298859347952425,2.31374320972491,0.0206818121700378,0.104574888055476,"NO"
"RPL7AP18",0.0803615191543955,-1.24101433047733,7.4389878846087,-0.166825695877929,0.867507199621611,NA,"NO"
"LOC107984915",0.0606825372804916,-0.61748181678788,7.44926994787085,-0.0828915881836673,0.933937742680197,NA,"NO"
"LINC01714",0.276535581661707,-1.24106987461159,7.43898700818351,-0.16683318215858,0.867501308981229,NA,"NO"
"LOC105376695",0.120542278731593,-1.78263031944392,7.41476753913775,-0.240416211301914,0.810007611896548,NA,"NO"
