"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",215.688460606816,0.242483528569028,0.271589723965032,0.892830277334972,0.371948069543634,0.999857848737763
"MIR6859-1",1.45406552000854,1.41929719675098,1.18587386259206,1.196836562068,0.231370264349352,0.999857848737763
"LOC100996442",0.976839412641594,0.404705887443925,1.94487274061758,0.208088621425901,0.835159771489977,0.999857848737763
"SEPTIN14P18",0.307331999331726,0.740312734133756,3.0411075999407,0.243435232001719,0.807668253342415,0.999857848737763
"LOC729737",1.14519856243484,1.34022834173562,1.52864411321745,0.876743206706718,0.380626132995068,0.999857848737763
"LOC102725121",0.799396553899104,-0.0813274645621469,1.63224726278055,-0.0498254562385387,0.960261480728486,0.999857848737763
"WASH9P",131.147128831435,-0.0171377044469028,0.194620607243799,-0.0880569878473075,0.929831382252041,0.999857848737763
"MIR6859-2",0.057080467192987,0.436294473044079,3.0414330302705,0.143450297508367,0.885934562022889,0.999857848737763
"RPL23AP21",0.170579693260591,0.436295955878174,3.0414330302705,0.143450785052917,0.885934177000576,0.999857848737763
"RPL23AP24",0.138551979307189,0.436295955878174,3.0414330302705,0.143450785052917,0.885934177000576,0.999857848737763
"SEPTIN14P13",0.0803615191543955,-0.525490358188563,3.0414330302705,-0.17277722473535,0.862826539818964,0.999857848737763
"LOC100132287",6.21761714635721,0.0764649711638693,0.704060467268782,0.108605687605917,0.9135152493856,0.999857848737763
"LOC105378947",0.0535457864791455,0.436294473044079,3.0414330302705,0.143450297508368,0.885934562022889,0.999857848737763
"MIR12136",0.705648428663886,0.979411120211963,2.29622343614235,0.426531279489671,0.669720760482563,0.999857848737763
"SEPTIN14P14",0.412253243046499,0.0882110298074446,2.87541274059271,0.0306776931750194,0.975526581055643,0.999857848737763
"LOC100288069",52.4715713521525,-0.299347955133684,0.293551427408534,-1.01974620861606,0.30784884041724,0.999857848737763
"LINC01409",6.77404312734332,-0.0270236747073538,0.543543656883667,-0.0497175790115745,0.960347447757399,0.999857848737763
"FAM87B",2.62449686597793,0.429344128406363,1.10531807176821,0.388434912422565,0.697694212140673,0.999857848737763
"LINC00115",5.42513508983215,0.191074952505254,0.590197724772934,0.323747355310063,0.746129315638024,0.999857848737763
"LINC01128",269.796630918756,-0.0168844059124292,0.160108358088583,-0.105456118056545,0.916013888486938,0.999857848737763
"LOC107984850",3.22272887561976,-1.08123836553832,1.01305506246167,-1.06730463683876,0.285834294950515,0.999857848737763
"TUBB8P11",0.209150413023691,1.3815022948811,3.04110761300438,0.454276030540163,0.649630165867011,0.999857848737763
"LOC284600",3.42802821127575,0.817431558661649,1.19380442919679,0.684728200591137,0.493515450179562,0.999857848737763
"LINC02593",0.771232592546263,-1.35400275747173,1.45722921208502,-0.929162513517284,0.35280487126505,0.999857848737763
"LOC107985728",0.147027464341228,0.436295955878174,3.0414330302705,0.143450785052916,0.885934177000576,0.999857848737763
"SAMD11",12.7375368453927,0.0261596223804057,0.477882380726116,0.054740713270612,0.956345033472345,0.999857848737763
"NOC2L",4445.11346426158,0.0332661310889733,0.168480006370539,0.197448538883663,0.84347654863351,0.999857848737763
"KLHL17",103.488154767373,0.0711774251036506,0.186813597358716,0.381007732359957,0.703197510938486,0.999857848737763
"PLEKHN1",118.130724284298,0.0486650664464145,0.305525363837189,0.159283228846256,0.873445733506576,0.999857848737763
"PERM1",5.88704502509071,-1.01358883003811,0.629510622485164,-1.61012188489639,0.10737125027224,0.999857848737763
"HES4",664.665001820262,0.158713226358717,0.298471770181848,0.53175288993669,0.594897155061711,0.999857848737763
"RPL39P12",2.66198133804112,0.448624238529471,0.729142199895727,0.615276743814344,0.538371973320678,0.999857848737763
"ISG15",377.397733217038,0.0169716142733375,0.376211889416264,0.0451118498664966,0.96401815621176,0.999857848737763
"AGRN",5147.30933981111,0.0196581752070022,0.15628028226124,0.125787942807407,0.899899786206321,0.999857848737763
"LOC100288175",105.917597860105,0.151129645810248,0.292994380846401,0.515810731160322,0.605986606837024,0.999857848737763
"LOC105378948",6.05295237344151,-0.0759590643168337,0.549853774925965,-0.138144117182902,0.890126519532926,0.999857848737763
"RNF223",65.3650331078771,0.049719249109525,0.377462562989892,0.131719682915565,0.89520601645321,0.999857848737763
"C1orf159",335.368634105652,0.0151086329713214,0.186247005579372,0.0811214812518562,0.935345342417764,0.999857848737763
"LINC01342",6.51240451460697,-0.413261459564176,0.587649608293333,-0.703244678005284,0.481903280487527,0.999857848737763
"MIR200B",0.211709197383479,1.3815022948811,3.04110761300438,0.454276030540163,0.649630165867011,0.999857848737763
"MIR200A",0.281448803575307,-0.471998354966364,2.74072466180815,-0.172216626333771,0.863267227239627,0.999857848737763
"MIR429",0.570580790391507,-0.309110171122996,2.09060048977736,-0.147857121738221,0.88245552807334,0.999857848737763
"TTLL10-AS1",1.54404001677668,1.48544420157695,1.41593549023495,1.04909030942538,0.29413655573875,0.999857848737763
"TTLL10",0.486192203156033,1.47096973838287,2.36360603850586,0.622341335408302,0.533717446490513,0.999857848737763
"TNFRSF18",1.33819900719218,1.68318450465336,1.66063669374226,1.01357781084572,0.310784250024676,0.999857848737763
"TNFRSF4",0.577764128418424,-1.68163186320536,2.63268209110763,-0.638752346470308,0.522984053266691,0.999857848737763
"SDF4",5959.00254914922,0.0118229087742815,0.100111651936796,0.118097229898331,0.905990618314592,0.999857848737763
"B3GALT6",1151.60033387273,-0.0841929867743985,0.182304849538371,-0.461825272271092,0.644206626096048,0.999857848737763
"C1QTNF12",118.223777298231,0.204623248258579,0.222912976842099,0.917951261327977,0.358644382781103,0.999857848737763
"UBE2J2",2175.4326805997,-0.0453588898533153,0.121199553418763,-0.374249645100535,0.708218591705127,0.999857848737763
"LINC01786",4.56701517549363,-0.392580079115639,0.898478814739336,-0.436938604088882,0.662155874373049,0.999857848737763
"SCNN1D",11.0382232480963,0.32936458128535,0.537528970717357,0.612738288032732,0.540049401544624,0.999857848737763
